timestamp_ms,ax,ay,az,gx,gy,gz
3380,0.0549,0.0117,1.0715,0.3359,-2.5649,-0.7481
3390,0.0574,-0.0542,1.0725,0.1221,-2.6718,-0.9466
3400,0.0605,-0.0298,0.9858,0.2290,-2.4580,-0.6565
3410,0.0576,0.0159,1.0681,0.1985,-2.6107,-0.7939
3420,0.0564,-0.0537,1.0679,0.0916,-2.6412,-0.7786
3430,0.0601,-0.0273,0.9883,0.2443,-2.4733,-0.8550
3440,0.0552,0.0122,1.0750,0.1527,-2.6718,-0.8855
3451,0.0586,-0.0557,1.0657,0.1832,-2.5191,-0.9313
3460,0.0640,-0.0269,0.9854,0.1679,-2.4580,-0.9008
3470,0.0547,0.0139,1.0735,0.1527,-2.6260,-0.8397
3480,0.0574,-0.0554,1.0627,0.2595,-2.5344,-0.9008
3490,0.0640,-0.0283,0.9861,0.2901,-2.5344,-0.9313
3500,0.0525,0.0120,1.0745,0.1069,-2.6565,-1.0992
3510,0.0557,-0.0559,1.0647,0.3359,-2.5496,-1.0534
3520,0.0598,-0.0269,0.9885,0.2290,-2.5344,-1.0076
3530,0.0527,0.0098,1.0740,0.1374,-2.6565,-0.5954
3540,0.0596,-0.0537,1.0640,0.1679,-2.4580,-0.5344
3550,0.0637,-0.0251,0.9956,0.2137,-2.6107,-0.7481
3560,0.0544,0.0088,1.0698,0.2443,-2.6107,-0.8092
3570,0.0596,-0.0557,1.0630,0.2595,-2.5038,-0.8855
3580,0.0645,-0.0234,0.9922,0.2443,-2.5191,-1.0229
3590,0.0518,0.0085,1.0713,0.1985,-2.7023,-0.9924
3600,0.0601,-0.0591,1.0593,0.1985,-2.4580,-0.8397
3610,0.0684,-0.0244,0.9917,0.2901,-2.5496,-0.9160
3620,0.0503,0.0127,1.0688,0.2595,-2.6412,-0.8855
3630,0.0596,-0.0583,1.0608,0.1832,-2.5344,-0.8397
3640,0.0640,-0.0227,0.9934,0.2137,-2.5954,-0.9618
3650,0.0549,0.0134,1.0730,0.2748,-2.6107,-0.6870
3660,0.0591,-0.0571,1.0642,0.2290,-2.5344,-0.7328
3670,0.0552,0.0132,1.0261,0.2901,-2.5344,-0.7939
3680,0.0554,-0.0295,1.0898,0.1985,-2.5496,-0.8397
3690,0.0649,-0.0581,1.0088,0.2748,-2.6412,-0.5954
3701,0.0571,0.0132,1.0247,0.1985,-2.5802,-0.5954
3710,0.0547,-0.0281,1.0889,0.1527,-2.5344,-0.6107
3720,0.0662,-0.0581,1.0039,0.2595,-2.6565,-0.7328
3730,0.0601,0.0125,1.0229,0.2137,-2.6107,-0.6565
3740,0.0552,-0.0298,1.0874,0.1832,-2.5191,-0.7634
3750,0.0647,-0.0574,1.0061,0.1679,-2.6260,-0.8092
3760,0.0571,0.0142,1.0271,0.2290,-2.6718,-0.8092
3770,0.0552,-0.0303,1.0833,0.1679,-2.5038,-0.6870
3780,0.0637,-0.0547,0.9990,0.1679,-2.6260,-0.7634
3790,0.0547,0.0154,1.0344,0.2290,-2.6565,-0.7786
3800,0.0496,-0.0303,1.0808,0.1527,-2.4580,-0.8855
3810,0.0647,-0.0576,1.0081,0.2901,-2.5954,-0.6107
3820,0.0549,0.0178,1.0354,0.2290,-2.6412,-0.7786
3830,0.0496,-0.0308,1.0830,0.1527,-2.4427,-1.0534
3840,0.0647,-0.0588,1.0005,0.2290,-2.6565,-0.7939
3850,0.0544,0.0159,1.0356,0.2595,-2.5649,-1.0534
3860,0.0508,-0.0337,1.0803,0.1679,-2.5344,-0.8855
3870,0.0625,-0.0564,1.0042,0.2290,-2.6565,-0.7328
3880,0.0559,0.0164,1.0310,0.3359,-2.6412,-0.7634
3890,0.0540,-0.0322,1.0845,0.1985,-2.5038,-0.8550
3900,0.0662,-0.0547,1.0015,0.2137,-2.5954,-0.7481
3910,0.0547,0.0183,1.0332,0.2290,-2.5649,-0.8702
3920,0.0552,-0.0371,1.0808,0.2290,-2.5954,-0.9771
3930,0.0649,-0.0562,1.0059,0.1832,-2.6260,-0.5954
3940,0.0554,0.0166,1.0291,0.1985,-2.4733,-0.7786
3951,0.0537,-0.0349,1.0813,0.2137,-2.5496,-0.8855
3960,0.0652,-0.0557,1.0046,0.2748,-2.7023,-0.7939
3970,0.0554,0.0149,1.0332,0.2443,-2.4733,-0.7481
3980,0.0610,-0.0325,1.0872,0.2290,-2.5344,-0.7634
3990,0.0652,-0.0544,1.0037,0.3053,-2.7023,-0.7481
4000,0.0564,0.0112,1.0244,0.1985,-2.5344,-0.8855
4010,0.0615,-0.0291,1.0911,0.2137,-2.5954,-0.7328
4020,0.0701,-0.0200,0.9939,0.2137,-2.5191,-0.8550
4035,0.0581,-0.0317,1.0872,0.2137,-2.6107,-0.8244
4040,0.0576,-0.0613,1.0520,0.1985,-2.5191,-0.8397
4050,0.0662,-0.0234,0.9954,0.1069,-2.5344,-0.7481
4060,0.0542,0.0100,1.0752,0.2748,-2.6718,-0.8702
4070,0.0623,-0.0620,1.0571,0.1679,-2.4580,-0.9313
4080,0.0657,-0.0264,0.9949,0.1679,-2.5954,-0.8092
4090,0.0540,0.0115,1.0730,0.2443,-2.6565,-0.8397
4100,0.0625,-0.0593,1.0635,0.1679,-2.4733,-0.8244
4110,0.0671,-0.0266,0.9924,0.2290,-2.5649,-1.0076
4120,0.0564,0.0093,1.0696,0.1679,-2.6107,-0.8550
4130,0.0647,-0.0613,1.0649,0.1527,-2.6260,-0.8397
4140,0.0691,-0.0295,0.9966,0.1985,-2.4885,-0.6718
4150,0.0562,0.0103,1.0664,0.2290,-2.5191,-0.6718
4160,0.0618,-0.0569,1.0674,0.1985,-2.5649,-0.8550
4170,0.0657,-0.0288,0.9917,0.1527,-2.5649,-0.6565
4180,0.0520,0.0117,1.0637,0.1832,-2.5954,-0.7634
4190,0.0618,-0.0574,1.0686,0.2290,-2.6718,-0.8855
4201,0.0659,-0.0295,0.9902,0.3053,-2.5496,-0.7481
4210,0.0559,0.0098,1.0635,0.1985,-2.4427,-0.9924
4220,0.0645,-0.0554,1.0742,0.2290,-2.6718,-0.8397
4230,0.0657,-0.0322,0.9890,0.1985,-2.5496,-0.6260
4240,0.0547,0.0146,1.0591,0.2290,-2.5496,-0.8550
4250,0.0635,-0.0552,1.0759,0.1832,-2.6412,-0.6718
4260,0.0698,-0.0378,0.9941,0.2290,-2.4275,-0.6718
4270,0.0576,0.0122,1.0593,0.1985,-2.5038,-0.7786
4280,0.0652,-0.0527,1.0784,0.1527,-2.6870,-1.0076
4290,0.0671,-0.0337,0.9919,0.3053,-2.5191,-0.8092
4300,0.0603,0.0154,1.0537,0.2595,-2.5191,-0.8550
4310,0.0625,-0.0498,1.0747,0.1527,-2.6260,-0.9313
4320,0.0664,-0.0371,0.9885,0.2290,-2.5344,-0.7176
4330,0.0591,0.0129,1.0596,0.2137,-2.6260,-0.5191
4340,0.0623,-0.0525,1.0764,0.0763,-2.6412,-0.5496
4350,0.0652,-0.0359,0.9883,0.2443,-2.4580,-0.9160
4360,0.0576,0.0115,1.0635,0.1069,-2.6260,-0.9618
4370,0.0684,-0.0647,1.0234,0.3206,-2.6565,-0.9618
4380,0.0605,0.0049,1.0005,0.1985,-2.6260,-0.8244
4390,0.0518,-0.0146,1.0862,0.1374,-2.4427,-0.9618
4400,0.0698,-0.0649,1.0239,0.2901,-2.6412,-0.9008
4410,0.0620,0.0024,1.0027,0.1832,-2.6565,-0.8092
4420,0.0535,-0.0139,1.0828,0.1679,-2.4580,-0.8092
4430,0.0708,-0.0649,1.0288,0.2290,-2.5649,-1.0382
4440,0.0649,0.0032,0.9966,0.3511,-2.6565,-0.6107
4451,0.0527,-0.0117,1.0854,0.2137,-2.5496,-0.4733
4460,0.0681,-0.0596,1.0320,0.2290,-2.5649,-0.8397
4470,0.0559,0.0032,0.9983,0.2595,-2.5496,-0.8855
